tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,company_reply_tweet_id,company,clean_text,cluster_id,keyword_label_x,top_keywords_x,cluster_size_x,keyword_label_y,top_keywords_y,cluster_size_y
1588458,129181,True,Mon Nov 27 23:23:27 +0000 2017,"@132569 Been with AirBnB for 4+ years as traveler &amp; superhost.  Booked on @115783 for thanksgiving with parents, but listing was misleading (e.g., dumpster at front door, bad/dangerous condition).  https://t.co/oF5qthjS5o https://t.co/kXKHgyxtlT
https://t.co/jRRdhgNQwb https://t.co/oGDOUN19tp",1588457,,1588457,AirbnbHelp,"been with airbnb for 4+ years as traveler superhost. booked on for thanksgiving with parents, but listing was misleading (e.g., dumpster at front door, bad/dangerous condition).",2,booked / listing / price,"['booked', 'listing', 'price', 'use', 'want', 'customer service']",26.0,feel / good / terrible,"['feel', 'good', 'terrible', 'bad', 'previous', 'disappointed']",9.0
599821,262300,True,Sun Dec 03 18:21:05 +0000 2017,". @AirbnbHelp Hi! It’s been over 24 hours and still no reply since your last msg online. Since then, another host has cancelled a booking making that the 3rd time it’s happened (out of 3 @115783 bookings). Is rebooking w/ no time standard Airbnb practice? 😫",599820,,599820,AirbnbHelp,". hi! its been over 24 hours and still no reply since your last msg online. since then, another host has cancelled a booking making that the 3rd time its happened (out of 3 bookings). is rebooking w/ no time standard airbnb practice?",6,booked / listing / price,"['booked', 'listing', 'price', 'use', 'want', 'customer service']",26.0,didn / time / extenuating,"['didn', 'time', 'extenuating', 'asked', 'making', 'lost']",3.0
1588265,488466,True,Fri Dec 01 02:13:12 +0000 2017,"@115783 host cancelled on me the morning of my reservation for no reason, your rep said she would help w getting a new place, told me to message a host and then talk to her. Host said the place is available, rep won't write back, and now the place is taken",1588264,,1588264,AirbnbHelp,"host cancelled on me the morning of my reservation for no reason, your rep said she would help w getting a new place, told me to message a host and then talk to her. host said the place is available, rep won't write back, and now the place is taken",0,host / refund / reservation,"['host', 'refund', 'reservation', 'account', 'problem', 'contact']",32.0,host / refund / service,"['host', 'refund', 'service', 'customer', 'problem', 'account']",32.0
914957,337271,True,Tue Oct 10 17:02:05 +0000 2017,"@AirbnbHelp Hey folks - my host refunded too much money to me, I need to send some back. How can I do this please?",914956,,914956,AirbnbHelp,"hey folks - my host refunded too much money to me, i need to send some back. how can i do this please?",0,host / refund / reservation,"['host', 'refund', 'reservation', 'account', 'problem', 'contact']",32.0,host / refund / service,"['host', 'refund', 'service', 'customer', 'problem', 'account']",32.0
2732574,765962,True,Mon Nov 20 15:43:00 +0000 2017,@115783 Please help your hosts:  1. Show pricing for each date in Calendar view w/o having to click on the date.   2. Keyword searching.  Your filters are inadequate.,2732573,,2732573,AirbnbHelp,please help your hosts: 1. show pricing for each date in calendar view w/o having to click on the date. 2. keyword searching. your filters are inadequate.,5,booked / listing / price,"['booked', 'listing', 'price', 'use', 'want', 'customer service']",26.0,listing / list / request,"['listing', 'list', 'request', 'hosts', 'assist', 'theres']",6.0
420888,215316,True,Tue Oct 10 07:03:28 +0000 2017,@145335 have been requesting foreign guest fill d form C by Frro online. Some guests aren’t comfortable pls inform them prior to arrival,420887,,420887,AirbnbHelp,have been requesting foreign guest fill d form c by frro online. some guests arent comfortable pls inform them prior to arrival,1,host / refund / reservation,"['host', 'refund', 'reservation', 'account', 'problem', 'contact']",32.0,reservation / guest / booking,"['reservation', 'guest', 'booking', 'book', 'policy', 'does']",16.0
2775723,139400,True,Tue Nov 21 14:45:42 +0000 2017,@AirbnbHelp Where can I email/call to get help as a host?,2775721,,2775721,AirbnbHelp,where can i email/call to get help as a host?,0,host / refund / reservation,"['host', 'refund', 'reservation', 'account', 'problem', 'contact']",32.0,host / refund / service,"['host', 'refund', 'service', 'customer', 'problem', 'account']",32.0
2413993,693908,True,Tue Nov 14 17:02:55 +0000 2017,Hi @115783 have a question about coupon codes and how they work for reservations when you have to request a booking vs instant book? Should I have included it before submitting request? Too late now?,2413991,,2413991,AirbnbHelp,hi have a question about coupon codes and how they work for reservations when you have to request a booking vs instant book? should i have included it before submitting request? too late now?,1,,,,reservation / guest / booking,"['reservation', 'guest', 'booking', 'book', 'policy', 'does']",16.0
991064,354758,True,Sat Oct 14 10:29:45 +0000 2017,"Dear @AirbnbHelp ,I  lost the Superhost status due to cancel of the booking, due to user error 81994107.My account is 233195587.",991063,,991063,AirbnbHelp,"dear ,i lost the superhost status due to cancel of the booking, due to user error 81994107.my account is 233195587.",0,host / refund / reservation,"['host', 'refund', 'reservation', 'account', 'problem', 'contact']",32.0,host / refund / service,"['host', 'refund', 'service', 'customer', 'problem', 'account']",32.0
1009484,210116,True,Thu Oct 12 10:51:59 +0000 2017,@AirbnbHelp Denise from Customer Experience KILLING IT! 😁,1009483,,1009483,AirbnbHelp,denise from customer experience killing it!,0,,,,host / refund / service,"['host', 'refund', 'service', 'customer', 'problem', 'account']",32.0
